clientnum,attrition_flag,gender_F,gender_M,education_level_College,education_level_Doctorate,education_level_Graduate,education_level_High School,education_level_Post-Graduate,education_level_Uneducated,education_level_Unknown,customer_age,dependent_count,months_on_book,total_relationship_count,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,total_amt_chng_q4_q1,total_trans_amt,total_trans_ct,total_ct_chng_q4_q1,avg_utilization_ratio
779040408,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7317073170731708,0.4,0.5581395348837209,0.4000000000000001,0.16666666666666666,0.3333333333333333,0.324771673967658,0.6762018275725069,0.24551074477480128,0.052801604099365046,0.17829457364341086,0.14001680201624195,0.1407035175879397
714212358,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29268292682926833,0.6000000000000001,0.5348837209302325,0.0,0.5,0.3333333333333333,0.11553705366455347,0.6777910210568137,0.10568148366205475,0.08978500612676842,0.3643410852713178,0.18930271632595913,0.3256281407035176
714383583,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3170731707317074,0.4,0.5348837209302325,0.8,0.5,0.5,0.6815074808707982,0.6738180373460468,0.24639387695025022,0.45204411273253875,0.6744186046511628,0.2525903108373005,0.07135678391959797
779536233,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5121951219512196,0.8,0.39534883720930236,0.0,0.16666666666666666,0.16666666666666666,0.0,0.23877632101708382,0.2943773918163085,0.23053358583045563,0.5658914728682171,0.20414449733968076,0.42010050251256276
720512433,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7317073170731708,0.2,0.5348837209302325,1.0000000000000002,0.6666666666666666,0.5,0.41661602832119526,0.9062375844259039,0.24492198999116868,0.3951765623259441,0.5271317829457364,0.26603192383085966,0.1507537688442211
797232183,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3902439024390244,0.8,0.5348837209302325,0.2,0.16666666666666666,0.16666666666666666,0.0374179583223743,0.7794994040524433,0.19664409773329408,0.2500835468419294,0.5038759689922481,0.22010641276953236,0.7366834170854271
721491258,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6585365853658537,0.8,0.5348837209302325,0.4000000000000001,0.3333333333333333,0.3333333333333333,0.07514730467958777,1.0,0.15042684721813365,0.04940403252757046,0.15503875968992248,0.18678241388966677,0.6442211055276381
716685033,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29268292682926833,0.2,0.13953488372093026,0.0,0.16666666666666666,0.3333333333333333,0.12457637622930254,0.6356773937226857,0.21077421254047687,0.2681296646986744,0.5581395348837209,0.24194903388406608,0.28944723618090445
716159958,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5609756097560975,0.4,0.5348837209302325,0.2,0.16666666666666666,0.3333333333333333,0.1446805551776575,0.5280095351609059,0.2178392699440683,0.763506739445249,0.6434108527131782,0.21142537104452536,0.21507537688442208
719945433,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8292682926829268,0.2,0.813953488372093,0.4000000000000001,0.3333333333333333,0.3333333333333333,0.019097458408535058,0.0,0.20841919340594642,0.0703464409045338,0.33333333333333337,0.269672360683282,0.0
769438608,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5365853658536587,0.2,0.6744186046511628,0.4000000000000001,0.5,0.3333333333333333,0.01522778185907727,0.34167659912594356,0.20841919340594642,0.1109502060822101,0.248062015503876,0.08737048445813497,0.44522613065326627
709309308,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5853658536585366,0.6000000000000001,0.5581395348837209,0.0,0.5,0.3333333333333333,0.7784005538474562,0.0,0.14836620547541948,0.06538932828339089,0.186046511627907,0.1338560627275273,0.0
780253533,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9024390243902439,0.0,0.8372093023255814,0.8,0.5,0.0,0.06408244829598189,0.920937624155741,0.37238740064763026,0.0613233819761613,0.1627906976744186,0.2307476897227667,0.6542713567839196
717870108,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4878048780487806,0.8,0.5581395348837209,1.0000000000000002,0.6666666666666666,0.3333333333333333,0.014320826417798097,0.4656336909018673,0.2434501030320871,0.24011362370502398,0.5503875968992248,0.24754970596471576,0.6160804020100502
713657733,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5121951219512196,0.8,0.5348837209302325,0.8,0.5,0.16666666666666666,0.23259476928565168,0.31783869686134286,0.18251398292611126,0.1826333964576139,0.4728682170542635,0.14309717166059926,0.08844221105527637
